alt_text,trip,location,time,path,small_path
Camel By The Sea,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_20-38-14_971_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_20-38-14_971_small_60.jpeg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_12-54-50_890_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_12-54-50_890_small_60.jpg
Paris by Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-36-05_527_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-36-05_527_small_60.jpg
Santa Barbara Rainbow Arch,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_09-04-08_974_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_09-04-08_974_small_60.jpg
Santa Clause Bakery,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_15-27-05_600_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_15-27-05_600_small_60.jpg
The Smily Face,California-2023,California,2023-12-21,./assets/img/gallery/california-2023-Dec/2023-12-21_16-46-58_000 (2023-12-23T18_48_24.585)_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-21_16-46-58_000 (2023-12-23T18_48_24.585)_small_60.jpg
Vegas Sign,California-2023,California,2023-12-21,./assets/img/gallery/california-2023-Dec/2023-12-21_15-52-31_861_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-21_15-52-31_861_small_60.jpg
Disney Land California,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_15-56-09_757_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_15-56-09_757_small_60.jpg
Yosemite Park Mountain,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_16-37-32_481 (2023-12-30T03_14_47.004)_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_16-37-32_481 (2023-12-30T03_14_47.004)_small_60.jpeg
Yosemite Park Forest,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_14-10-03_532_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_14-10-03_532_small_60.jpg
Little Italy,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-04-20_879_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-04-20_879_small_60.jpg
Santa Barbara Night Market,California-2023,California,2023-12-15,./assets/img/gallery/california-2023-Dec/2023-12-15_20-41-31_111_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-15_20-41-31_111_small_60.jpg
GoldenGate Park,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_10-08-44_243_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_10-08-44_243_small_60.jpg
Disney Land California,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_21-44-25_272_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_21-44-25_272_small_60.jpg
Ice cream store at Solvang,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_13-48-07_433_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_13-48-07_433_small_60.jpg
Thor!,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_08-12-32_169_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_08-12-32_169_small_60.jpeg
Disney Dining with Minnie,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_08-58-57_581_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_08-58-57_581_small_60.jpeg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-27-38_153_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-27-38_153_small_60.jpg
Alcatraz,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_13-38-18_184_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_13-38-18_184_small_60.jpg
Doctor Stange,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_11-37-30_719_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_11-37-30_719_small_60.jpeg
Tunnel View Yosemite,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_17-48-49_936_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_17-48-49_936_small_60.jpeg
Brewing Company Solvang,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_12-30-25_400_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_12-30-25_400_small_60.jpg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_14-25-11_745_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_14-25-11_745_small_60.jpg
Alcatraz,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_13-38-43_264_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_13-38-43_264_small_60.jpg
Disney Land,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_21-24-06_790_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_21-24-06_790_small_60.jpg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_15-54-09_459_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_15-54-09_459_small_60.jpg
Santa Barbara,California-2023,California,2023-12-15,./assets/img/gallery/california-2023-Dec/2023-12-15_20-44-24_946_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-15_20-44-24_946_small_60.jpg
Ghirardelli Chocolate Factory,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_15-59-08_587_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_15-59-08_587_small_60.jpg
Tunnel View Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_17-49-40_463_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_17-49-40_463_small_60.jpeg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_14-09-24_628_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_14-09-24_628_small_60.jpg
Disney Land,California-2023,California,2023-12-22,./assets/img/gallery/california-2023-Dec/2023-12-22_13-11-31_516_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-22_13-11-31_516_small_60.jpg
Dinner at Santa Barbara,California-2023,California,2023-12-15,./assets/img/gallery/california-2023-Dec/2023-12-15_19-38-45_000_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-15_19-38-45_000_small_60.jpeg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_15-58-39_220_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_15-58-39_220_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_18-12-21_328_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_18-12-21_328_small_60.jpeg
Kbbq at Vegas ,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_19-56-19_513_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_19-56-19_513_small_60.jpg
Steak at San Francisco ,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_17-59-20_267_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_17-59-20_267_small_60.jpg
Little Italy at Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-08-26_864_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-08-26_864_small_60.jpg
